URL;ID;Resultado:
;1;;;sae_enem_questao_186830 | Use o aplicativo Questões ENEM - SAE Digital para ler este QR Code
;4;link invalido
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04I1;41;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V8;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V2;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V3;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V6;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V15;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V7;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V11;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04F;41;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V16;44;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V9;42;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V12;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V10;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V18;44;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V13;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V14;43;vídeo vimeo
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V20;44;vídeo vimeo
;1;;;https://gabaritossae.s3.amazonaws.com/EXT24_1_POR_A_04_GAB.pdf;45;pdf
;1;;;https://apis.sae.digital/redirect/r/EXT211PORA04V17;44;vídeo vimeo
